Date,Open,High,Low,Close,Adj Close,Volume
2001-05-23,75.513802,75.998100,73.818398,73.818398,58.579231,657543
2001-05-24,null,null,null,null,null,null
2001-05-25,73.721603,74.302902,71.735703,72.607498,57.618320,287688
2001-05-28,72.171600,73.091904,71.880997,72.946602,57.887405,77723
2001-05-29,72.655998,72.655998,71.687202,71.929398,57.080196,264565
2001-05-30,71.202904,72.171600,69.362297,70.234100,55.734875,612749
2001-05-31,69.749702,71.784103,69.749702,71.784103,56.964897,365105
2001-06-01,72.413803,72.995102,71.784103,72.655998,57.656796,243407
2001-06-04,null,null,null,null,null,null
2001-06-05,72.946602,74.399696,72.559097,72.655998,57.656796,446032
2001-06-06,73.624702,73.818398,72.801201,73.140297,58.041115,324743
2001-06-07,73.479401,74.109200,73.188797,73.624702,58.425526,468644
2001-06-08,74.593498,74.593498,73.334099,73.624702,58.425526,446452
2001-06-11,73.721603,73.818398,72.074699,72.413803,57.464611,131300
2001-06-12,71.687202,72.171600,70.912300,71.687202,56.888012,115096
2001-06-13,72.171600,73.479401,71.735703,72.995102,57.925896,226578
2001-06-14,72.849701,74.738800,72.462196,73.043503,57.964306,732697
2001-06-15,72.123199,72.268501,70.621597,71.009102,56.349903,852338
2001-06-18,71.106003,71.299698,69.846603,71.154404,56.465199,173207
2001-06-19,70.331001,71.638802,69.749702,71.638802,56.849583,176922
2001-06-20,71.638802,71.638802,69.410599,70.185600,55.696392,179297
2001-06-21,71.154404,72.074699,68.780998,69.507500,55.158279,341572
2001-06-22,68.732498,68.780998,66.456001,66.601303,52.852043,758605
2001-06-25,64.130997,65.390404,63.210701,64.905998,51.506725,891972
2001-06-26,64.954498,65.874702,62.871700,64.082603,50.853302,861315
2001-06-27,64.179497,65.632599,64.034103,65.632599,52.083321,468020
2001-06-28,65.390404,66.843498,64.421700,66.843498,53.044235,566400
2001-06-29,66.843498,68.151299,66.552902,66.988800,53.159550,342810
2001-07-02,66.843498,66.843498,65.245003,65.874702,52.275452,454600
2001-07-03,66.456001,66.456001,64.566902,65.874702,52.275452,443248
2001-07-04,65.874702,65.874702,65.002800,65.826302,52.237034,83200
2001-07-05,65.002800,65.002800,63.259102,64.130997,50.891712,503744
2001-07-06,63.937199,64.227798,60.643501,61.031101,48.431759,670144
2001-07-09,61.273201,61.515400,60.159100,60.837200,48.277893,716698
2001-07-10,60.546700,61.321701,59.820000,60.546700,48.047359,614807
2001-07-11,60.062199,60.788898,58.367001,59.335701,47.086361,725265
2001-07-12,60.498199,60.498199,58.318501,59.529400,47.240074,423328
2001-07-13,59.820000,59.917000,59.335701,59.771599,47.432278,171559
2001-07-16,59.771599,60.498199,58.802898,60.498199,48.008873,261156
2001-07-17,60.062199,60.837200,59.093498,60.546700,48.047359,386263
2001-07-18,60.546700,60.643501,57.252899,58.027901,46.048542,653418
2001-07-19,58.270100,58.270100,55.654400,56.671600,44.972240,936254
2001-07-20,56.235699,57.059200,55.702900,57.059200,45.279823,415794
2001-07-23,56.429401,56.574799,53.765499,55.121601,43.742229,806602
2001-07-24,54.879501,55.896599,54.298302,54.927898,43.588512,374706
2001-07-25,54.492001,55.605999,54.249802,54.540501,43.281086,566195
2001-07-26,54.492001,55.218498,54.249802,54.734200,43.434795,240817
2001-07-27,55.024799,55.363800,55.024799,55.363800,43.934429,160207
2001-07-30,55.654400,56.187199,55.412300,56.187199,44.587837,279530
2001-07-31,56.090500,57.543499,56.090500,57.156101,45.356724,194478
2001-08-01,58.027901,58.318501,56.865398,58.318501,46.279148,209545
2001-08-02,58.221600,59.868500,58.027901,59.045101,46.855755,382445
2001-08-03,58.802898,59.577900,57.979401,58.851299,46.701965,841907
2001-08-06,58.706100,59.045101,57.882599,58.124802,46.125446,223374
2001-08-07,57.882599,58.076302,56.720100,57.882599,45.933247,282529
2001-08-08,57.640400,58.124802,56.477901,57.349800,45.510437,204693
2001-08-09,56.042000,56.671600,55.170101,55.702900,44.203522,371502
2001-08-10,55.605999,55.945099,53.474800,54.249802,43.050407,388638
2001-08-13,54.249802,54.492001,52.118599,52.312302,41.512886,980229
2001-08-14,52.312302,54.637299,52.167000,54.056000,42.896610,571149
2001-08-15,54.056000,54.056000,52.554501,53.087299,42.127892,350754
2001-08-16,53.232700,53.232700,50.568600,51.779499,41.090073,381626
2001-08-17,49.890400,51.488800,49.793598,50.907700,40.398251,779968
2001-08-20,51.052898,52.554501,50.665401,52.070099,41.320683,325051
2001-08-21,51.874699,52.363201,50.116199,51.288601,40.700520,381892
2001-08-22,50.311600,50.800098,49.334702,49.725498,39.460106,413614
2001-08-23,50.018600,50.018600,48.748600,49.041599,38.917389,339883
2001-08-24,48.846199,52.167801,48.846199,51.581600,40.933029,469012
2001-08-27,51.484001,52.753899,51.484001,52.753899,41.863316,167239
2001-08-28,52.363201,53.144699,51.386200,51.777000,41.088097,245157
2001-08-29,51.484001,53.144699,51.484001,52.851601,41.940853,246549
2001-08-30,53.242401,54.512402,51.777000,53.047001,42.095917,352504
2001-08-31,52.656300,53.633202,52.363201,53.242401,42.250969,337109
2001-09-03,52.558601,53.828602,51.777000,51.777000,41.088097,163544
2001-09-04,52.265499,54.707802,52.265499,54.707802,43.413849,216874
2001-09-05,54.414700,54.414700,53.340099,53.633202,42.561096,170965
2001-09-06,53.633202,53.633202,50.311600,50.800098,40.312862,552908
2001-09-07,50.214001,50.800098,49.627800,50.116199,39.770145,320280
2001-09-10,49.139301,49.725498,48.260101,49.334702,39.149975,348021
2001-09-11,49.530102,49.920898,42.984699,46.306301,36.746765,604396
2001-09-12,44.450100,46.892399,43.766201,46.452801,36.863029,440965
2001-09-13,46.599300,46.599300,45.329300,46.208500,36.669155,184170
2001-09-14,45.964298,46.110901,43.180099,43.961601,34.886108,435315
2001-09-17,43.961601,44.157001,41.030800,43.961601,34.886108,379927
2001-09-18,43.228901,43.961601,42.349701,42.984699,34.110882,311447
2001-09-19,41.519299,43.717400,41.519299,42.545101,33.762043,473854
2001-09-20,42.251999,42.251999,37.660500,40.933201,32.482899,503918
2001-09-21,39.174702,39.956200,34.534302,38.783901,30.777306,1068055
2001-09-24,39.077000,41.079700,38.344299,40.053902,31.785122,486025
2001-09-25,40.298199,42.984699,39.223499,41.519299,32.948006,1077585
2001-09-26,39.809700,42.740501,39.321201,42.496201,33.723232,994416
2001-09-27,43.228901,45.915501,42.496201,44.254700,35.118706,1004663
2001-09-28,44.743198,49.432400,44.694302,47.038898,37.328125,952448
2001-10-01,46.941200,47.625099,44.450100,44.938499,35.661339,439860
2001-10-02,44.938499,45.231602,43.277802,43.570900,34.576065,497725
2001-10-03,43.815102,46.794701,42.740501,46.794701,37.134346,523848
2001-10-04,47.380901,50.995499,47.380901,48.015900,38.103436,604325
2001-10-05,48.308899,48.308899,44.498901,45.426998,36.048992,366333
2001-10-08,44.694302,47.185501,44.450100,46.794701,37.134346,352873
