Date,Open,High,Low,Close,Adj Close,Volume
2001-05-23,423.500000,424.000000,416.500000,424.000000,265.045197,5088
2001-05-24,null,null,null,null,null,null
2001-05-25,429.000000,429.000000,420.000000,425.500000,265.982849,6299
2001-05-28,420.500000,425.000000,418.000000,425.000000,265.670258,2370
2001-05-29,423.000000,425.000000,417.500000,420.000000,262.544739,8994
2001-05-30,418.000000,419.000000,403.000000,406.500000,254.105820,9355
2001-05-31,409.500000,409.500000,385.500000,386.500000,241.603683,6672
2001-06-01,387.000000,387.000000,364.000000,367.000000,229.414063,61590
2001-06-04,null,null,null,null,null,null
2001-06-05,370.000000,379.000000,365.000000,373.000000,233.164734,14827
2001-06-06,373.000000,373.000000,362.000000,366.000000,228.789001,11433
2001-06-07,365.000000,371.500000,364.000000,368.000000,230.039246,13043
2001-06-08,373.000000,376.000000,367.000000,370.000000,231.289459,11975
2001-06-11,371.500000,376.000000,370.000000,372.000000,232.539642,4139
2001-06-12,370.000000,375.000000,365.000000,365.500000,228.476456,8406
2001-06-13,368.500000,370.000000,366.000000,367.000000,229.414063,8283
2001-06-14,366.000000,369.000000,360.000000,360.500000,225.350967,7946
2001-06-15,360.000000,363.000000,353.000000,354.000000,221.287750,27729
2001-06-18,350.000000,355.000000,350.000000,353.500000,220.975174,3180
2001-06-19,350.000000,364.500000,350.000000,361.500000,225.975998,8400
2001-06-20,352.000000,359.500000,340.500000,343.000000,214.411560,7411
2001-06-21,350.000000,353.000000,346.000000,353.000000,220.662567,7050
2001-06-22,363.000000,363.000000,343.000000,350.000000,218.787323,8172
2001-06-25,353.000000,353.500000,348.000000,350.000000,218.787323,6549
2001-06-26,346.000000,347.000000,331.000000,335.000000,209.410675,7593
2001-06-27,340.000000,340.000000,318.000000,319.500000,199.721542,19932
2001-06-28,325.000000,335.000000,310.500000,328.000000,205.034958,13613
2001-06-29,335.000000,335.000000,320.000000,325.000000,203.159607,11047
2001-07-02,321.000000,329.000000,319.000000,325.000000,203.159607,6154
2001-07-03,325.000000,336.000000,322.000000,325.500000,203.472198,9942
2001-07-04,329.000000,330.500000,322.000000,322.000000,201.284286,10098
2001-07-05,322.000000,322.000000,305.000000,307.000000,191.907715,17327
2001-07-06,302.000000,306.500000,299.000000,300.000000,187.531982,9637
2001-07-09,300.000000,301.500000,293.000000,298.000000,186.281754,14146
2001-07-10,298.000000,300.000000,290.000000,295.000000,184.406418,8606
2001-07-11,290.500000,297.000000,289.500000,292.500000,182.843658,4725
2001-07-12,294.000000,298.000000,290.000000,298.000000,186.281754,3663
2001-07-13,292.000000,295.000000,290.000000,294.000000,183.781311,3056
2001-07-16,296.500000,297.000000,284.000000,288.000000,180.030670,4850
2001-07-17,282.500000,285.000000,276.500000,280.000000,175.029831,3730
2001-07-18,273.000000,279.500000,261.000000,266.500000,166.590912,8604
2001-07-19,273.500000,276.500000,268.500000,273.500000,170.966660,11277
2001-07-20,273.500000,296.000000,271.000000,288.500000,180.343262,53815
2001-07-23,296.000000,296.000000,286.000000,288.000000,180.030670,8196
2001-07-24,291.000000,291.000000,281.000000,284.000000,177.530243,13127
2001-07-25,285.000000,288.000000,282.000000,283.000000,176.905167,15516
2001-07-26,285.000000,287.500000,274.000000,274.000000,171.279190,6064
