Date,Open,High,Low,Close,Adj Close,Volume
2001-05-23,635.000000,643.000000,633.000000,641.000000,270.331665,183407
2001-05-24,null,null,null,null,null,null
2001-05-25,641.000000,643.000000,629.000000,634.000000,267.379578,214784
2001-05-28,630.000000,634.000000,624.000000,627.000000,264.427399,156951
2001-05-29,628.000000,629.000000,618.000000,620.000000,261.475250,224690
2001-05-30,617.000000,620.000000,604.000000,606.000000,255.570953,217512
2001-05-31,606.000000,610.000000,601.000000,602.000000,253.884064,356490
2001-06-01,603.000000,605.000000,589.000000,596.000000,251.353622,390405
2001-06-04,null,null,null,null,null,null
2001-06-05,601.000000,613.000000,595.000000,610.000000,257.257874,325053
2001-06-06,614.000000,619.000000,608.000000,614.000000,258.944855,344058
2001-06-07,614.000000,623.000000,613.000000,621.000000,261.897034,286683
2001-06-08,623.000000,628.000000,620.000000,626.000000,264.005676,223408
2001-06-11,626.000000,627.000000,619.000000,622.000000,262.318665,118993
2001-06-12,624.000000,633.000000,624.000000,628.000000,264.849121,527537
2001-06-13,631.000000,633.000000,624.000000,624.000000,263.162201,370750
2001-06-14,622.000000,627.000000,614.000000,616.000000,259.788330,148086
2001-06-15,610.000000,626.000000,609.000000,625.000000,263.583923,549732
2001-06-18,624.000000,625.000000,619.000000,621.000000,261.897034,139486
2001-06-19,618.000000,625.000000,617.000000,618.000000,260.631836,197344
2001-06-20,618.000000,620.000000,610.000000,614.000000,258.944855,176299
2001-06-21,616.000000,618.000000,598.000000,606.000000,255.570953,349776
2001-06-22,606.000000,608.000000,597.000000,604.000000,254.727570,217425
2001-06-25,607.000000,615.000000,601.000000,615.000000,259.366577,111802
2001-06-26,611.000000,613.000000,597.000000,605.000000,255.149231,231698
2001-06-27,611.000000,617.000000,598.000000,602.000000,253.884064,292184
2001-06-28,604.000000,613.000000,592.000000,612.000000,258.101410,402768
2001-06-29,611.000000,615.000000,606.000000,614.000000,258.944855,234537
2001-07-02,610.000000,617.000000,605.000000,616.000000,259.788330,249687
2001-07-03,621.000000,633.000000,604.000000,607.000000,255.992737,575687
2001-07-04,609.000000,612.000000,602.000000,605.000000,255.149231,248026
2001-07-05,602.000000,608.000000,599.000000,600.000000,253.040604,286465
2001-07-06,597.000000,597.000000,561.000000,561.000000,236.592926,678827
2001-07-09,566.000000,574.000000,562.000000,572.000000,241.231964,432801
2001-07-10,579.000000,584.000000,569.000000,574.000000,242.075531,371061
2001-07-11,570.000000,575.000000,563.000000,565.000000,238.279861,131964
2001-07-12,572.000000,578.000000,559.000000,564.000000,237.858124,281408
2001-07-13,565.000000,568.000000,531.000000,548.000000,231.110397,509872
2001-07-16,551.000000,552.000000,537.000000,551.000000,232.375610,394174
2001-07-17,549.000000,558.000000,535.000000,543.000000,229.001724,474008
2001-07-18,541.000000,546.000000,535.000000,537.000000,226.471329,245239
2001-07-19,540.000000,553.000000,534.000000,553.000000,233.219025,325285
2001-07-20,552.000000,572.000000,548.000000,564.000000,237.858124,504667
2001-07-23,564.000000,576.000000,563.000000,563.000000,237.436401,323421
2001-07-24,561.000000,569.000000,557.000000,557.000000,234.905991,195632
2001-07-25,559.000000,564.000000,550.000000,552.000000,232.797348,256760
2001-07-26,557.000000,564.000000,546.000000,548.000000,231.110397,302095
2001-07-27,558.000000,558.000000,550.000000,556.000000,234.484238,130986
2001-07-30,554.000000,570.000000,553.000000,568.000000,239.545059,229852
2001-07-31,570.000000,579.000000,567.000000,573.000000,241.653717,261187
2001-08-01,572.000000,577.000000,569.000000,569.000000,239.966797,90303
