Date,Open,High,Low,Close,Adj Close,Volume
2001-06-01,25.625200,25.704500,19.437000,21.579100,13.925761,75943435
2001-07-01,21.261700,22.094801,13.843900,15.192600,9.804326,120936449
2001-08-01,14.994300,16.065300,13.328300,13.724900,8.857165,89894181
2001-09-01,13.605900,13.923300,7.854150,9.202840,5.938920,127560734
2001-10-01,9.321850,11.979600,7.140140,11.027500,7.116438,222749892
2001-11-01,10.868900,15.787600,10.868900,13.645600,8.805990,152026661
2001-12-01,13.367900,15.470300,11.701900,12.693600,8.191633,106305553
2002-01-01,12.653900,14.835600,11.662200,11.701900,7.551652,159695437
2002-02-01,11.582900,11.741600,8.211160,9.639190,6.220512,223124889
2002-03-01,9.599520,11.820900,9.321850,10.591200,6.834880,193768782
2002-04-01,10.432500,12.653900,9.916860,11.503500,7.423617,269052753
2002-05-01,11.662200,12.296900,11.067200,11.186200,7.218853,135756964
2002-06-01,11.305200,11.424200,9.520180,10.511900,6.783704,137888884
2002-07-01,10.432500,10.908500,5.077430,6.283320,4.054850,184512992
2002-08-01,6.346790,7.528880,4.284080,6.505460,4.198205,255418045
2002-09-01,6.362660,7.140140,3.673200,3.863610,2.493325,209465320
2002-10-01,3.808070,4.339620,1.118620,1.562900,1.008595,569301661
2002-11-01,1.562900,4.165080,1.332830,3.942940,2.544520,563230301
2002-12-01,4.085750,4.204750,2.943320,3.117860,2.012066,192625001
2003-01-01,3.482800,4.109550,3.030590,3.173390,2.047902,255254815
2003-02-01,3.181330,3.276530,1.991300,2.229310,1.438653,225749136
2003-03-01,2.316580,3.094060,2.237240,2.514910,1.622961,422667716
2003-04-01,2.538720,3.355860,2.467310,3.308260,2.134938,240837093
2003-05-01,3.316200,3.823940,3.062330,3.268600,2.109344,250384209
2003-06-01,3.355860,4.101610,3.213060,3.530400,2.278292,377398499
2003-07-01,3.546270,4.752160,3.213060,4.744220,3.061614,422496524
2003-08-01,4.879090,6.703800,4.680760,6.338860,4.090692,584120288
2003-09-01,6.426120,6.775200,5.727980,5.791440,3.737422,420841781
2003-10-01,5.767640,6.362660,5.093300,6.227790,4.019014,436630352
2003-11-01,6.227790,6.687930,6.140520,6.340000,4.091428,369890562
2003-12-01,6.330000,6.390000,5.900000,6.270000,4.046254,368532170
2004-01-01,6.300000,7.900000,6.150000,7.220000,4.659323,395514490
2004-02-01,7.290000,8.080000,6.980000,7.690000,4.962631,308576610
2004-03-01,7.770000,8.080000,6.740000,7.470000,4.820657,308746268
2004-04-01,7.510000,8.220000,7.260000,7.300000,4.710950,213639827
2004-05-01,7.300000,7.510000,6.300000,7.000000,4.517349,222378351
2004-06-01,6.930000,7.230000,6.670000,6.850000,4.420548,216384410
2004-07-01,6.910000,6.970000,6.180000,6.910000,4.459269,168855728
2004-08-01,6.930000,7.340000,6.320000,7.170000,4.627056,163106945
2004-09-01,7.250000,7.830000,7.210000,7.620000,4.917458,181413379
2004-10-01,7.650000,8.020000,6.630000,6.920000,4.465723,345688543
2004-11-01,6.950000,7.240000,6.580000,7.040000,4.543163,213819795
2004-12-01,7.030000,7.060000,6.010000,6.350000,4.097881,292584395
2005-01-01,6.420000,6.940000,6.390000,6.540000,4.220495,196864391
2005-02-01,6.560000,7.210000,6.540000,7.060000,4.556068,248020802
2005-03-01,7.040000,7.690000,7.040000,7.430000,4.794843,219040170
2005-04-01,7.450000,7.800000,7.130000,7.380000,4.762577,217112116
2005-05-01,7.450000,8.270000,7.440000,8.150000,5.259486,235114009
