Date,Open,High,Low,Close,Adj Close,Volume
2001-06-01,101.750000,101.750000,77.150002,84.599998,48.049606,14374747
2001-07-01,85.000000,88.400002,74.199997,86.000000,48.844769,14268983
2001-08-01,86.349998,90.000000,80.949997,81.699997,46.402531,10244923
2001-09-01,81.000000,82.000000,46.599998,55.099998,31.294722,17110226
2001-10-01,55.599998,76.500000,48.500000,72.300003,41.063679,19574272
2001-11-01,72.000000,92.949997,71.050003,85.000000,48.276798,17804526
2001-12-01,85.500000,99.099998,83.750000,90.250000,51.258606,11760758
2002-01-01,90.099998,97.599998,86.900002,89.550003,50.861034,13842094
2002-02-01,91.000000,104.500000,85.000000,102.250000,58.074146,14510944
2002-03-01,101.750000,112.250000,100.250000,106.750000,60.629974,13840354
2002-04-01,106.750000,114.250000,99.349998,102.500000,58.216137,17682826
2002-05-01,103.000000,106.750000,94.750000,103.000000,59.076462,14494579
2002-06-01,103.000000,103.000000,82.250000,88.400002,50.702538,19499420
2002-07-01,87.500000,88.849998,54.000000,67.400002,38.657818,22729413
2002-08-01,67.550003,74.849998,56.000000,65.599998,37.625404,13124086
2002-09-01,65.550003,66.349998,45.849998,49.849998,28.591875,18975261
2002-10-01,49.099998,60.849998,33.849998,58.000000,33.266365,31549303
2002-11-01,57.799999,70.449997,50.200001,69.000000,39.575500,15301846
2002-12-01,69.949997,69.949997,52.150002,54.200001,31.086843,13936767
2003-01-01,58.250000,58.349998,39.200001,43.299999,24.835062,16776885
2003-02-01,43.599998,44.650002,37.400002,40.900002,23.458525,16706739
2003-03-01,41.049999,48.750000,34.250000,37.549999,21.537106,24033061
2003-04-01,37.549999,53.400002,37.549999,52.000000,29.825018,34209534
2003-05-01,51.799999,52.500000,44.200001,48.650002,28.253485,21319194
2003-06-01,49.950001,61.049999,49.150002,55.799999,32.405849,29212413
2003-07-01,55.250000,66.699997,54.000000,66.000000,38.329506,35743838
2003-08-01,66.000000,74.550003,64.199997,70.800003,41.117100,22514044
2003-09-01,71.599998,78.000000,64.650002,65.250000,37.893932,27774299
2003-10-01,64.750000,79.900002,64.650002,78.750000,45.734058,27897117
2003-11-01,78.599998,83.250000,76.349998,80.199997,46.576149,14637227
2003-12-01,80.199997,83.400002,76.400002,79.500000,46.169617,12350252
2004-01-01,79.949997,83.750000,42.700001,65.500000,38.039124,114508071
2004-02-01,65.500000,67.900002,61.599998,63.150002,36.674362,30307130
2004-03-01,63.950001,72.500000,63.599998,70.000000,40.652493,33512393
2004-04-01,70.250000,73.650002,53.750000,57.950001,33.654457,32629688
2004-05-01,59.000000,62.250000,55.200001,60.400002,35.077309,16317455
2004-06-01,64.800003,65.250000,61.299999,62.400002,36.238796,20310939
2004-07-01,62.700001,63.700001,55.799999,59.400002,34.496548,17288723
2004-08-01,59.349998,62.200001,56.500000,58.700001,34.494480,12851038
2004-09-01,59.250000,63.750000,58.400002,62.000000,36.433693,15076667
2004-10-01,62.049999,64.849998,56.299999,57.650002,33.877464,23542647
2004-11-01,57.849998,62.650002,56.599998,56.799999,33.377964,18886734
2004-12-01,55.900002,57.549999,55.250000,57.250000,33.642406,15303166
2005-01-01,57.500000,62.799999,56.900002,61.599998,36.198639,19013801
2005-02-01,61.750000,64.900002,60.299999,63.450001,37.285774,13657522
2005-03-01,63.099998,68.349998,62.500000,65.699997,38.607964,19143403
2005-04-01,66.000000,67.400002,56.900002,57.400002,33.730553,23367879
2005-05-01,57.799999,60.549999,56.549999,59.099998,34.729534,18381242
2005-06-01,59.299999,61.700001,57.599998,58.400002,34.318192,18939669
2005-07-01,58.400002,64.900002,58.150002,64.449997,38.507809,17866407
2005-08-01,64.750000,66.550003,59.200001,59.750000,35.699635,19895894
2005-09-01,60.000000,61.400002,57.450001,59.099998,35.311272,17478115
2005-10-01,59.049999,59.450001,53.400002,55.000000,32.861595,18736337
2005-11-01,55.200001,61.049999,54.400002,60.000000,35.849003,25613487
2005-12-01,60.400002,61.400002,58.049999,60.599998,36.207500,17887392
2006-01-01,61.000000,73.050003,60.700001,71.400002,42.660320,38785924
2006-02-01,71.099998,76.849998,70.699997,72.000000,43.018814,19805575
2006-03-01,72.000000,77.099998,70.449997,72.849998,43.526672,21682955
2006-04-01,73.500000,78.400002,70.699997,76.900002,45.946480,13988721
2006-05-01,76.699997,86.650002,74.500000,77.900002,46.543957,29106758
2006-06-01,78.199997,81.400002,67.849998,72.300003,43.198051,34059752
2006-07-01,72.349998,75.000000,67.500000,71.599998,42.779816,18430944
2006-08-01,71.900002,72.300003,63.549999,71.949997,42.988941,25570957
2006-09-01,71.750000,76.449997,70.599998,75.449997,45.080120,14491162
2006-10-01,75.949997,78.800003,72.900002,76.849998,45.916603,14662872
2006-11-01,77.050003,84.599998,75.800003,79.400002,47.440193,29865582
2006-12-01,79.400002,84.300003,77.449997,83.250000,49.740501,17257993
2007-01-01,84.500000,84.599998,77.800003,79.900002,47.738934,22975819
2007-02-01,80.099998,87.500000,79.199997,81.300003,48.575409,22073947
2007-03-01,81.000000,82.500000,74.750000,77.150002,46.095848,30788672
2007-04-01,77.099998,85.050003,75.500000,83.500000,49.889870,24223996
2007-05-01,83.500000,90.449997,83.250000,89.349998,53.385151,29717692
2007-06-01,89.800003,97.449997,84.449997,94.949997,57.495117,31262627
2007-07-01,94.500000,98.400002,81.099998,84.349998,51.076492,33495254
2007-08-01,83.800003,85.199997,73.650002,78.750000,47.685516,37732030
2007-09-01,79.400002,79.500000,67.550003,68.849998,41.690765,31448616
2007-10-01,68.449997,75.949997,67.800003,69.650002,42.175194,37969983
2007-11-01,70.500000,71.500000,58.650002,63.099998,38.208969,45732510
2007-12-01,63.349998,65.500000,59.500000,61.250000,37.088737,22705298
2008-01-01,61.200001,61.799999,46.799999,56.200001,34.030811,48623434
2008-02-01,57.000000,59.000000,51.750000,54.900002,33.243618,31235073
2008-03-01,54.000000,57.849998,50.799999,57.349998,34.727173,25703944
2008-04-01,56.950001,62.299999,56.049999,62.150002,37.633709,25354976
2008-05-01,62.700001,66.500000,56.950001,59.450001,35.998783,21994607
2008-06-01,59.549999,60.700001,49.799999,50.700001,31.437199,24782047
2008-07-01,50.099998,50.500000,44.880001,48.279999,29.936649,31074546
2008-08-01,48.400002,53.750000,45.939999,51.900002,32.181278,17419122
2008-09-01,51.700001,53.400002,46.419998,48.240002,29.911844,30735688
2008-10-01,48.020000,50.000000,34.380001,40.139999,24.889332,39965932
2008-11-01,40.139999,45.119999,32.759998,36.040001,22.347076,23970319
2008-12-01,36.160000,38.639999,33.700001,35.779999,22.185858,15222463
2009-01-01,36.639999,39.439999,33.200001,39.060001,24.219669,19395030
2009-02-01,38.439999,43.480000,35.200001,35.820000,22.210659,23141432
2009-03-01,34.500000,37.720001,30.160000,35.580002,22.061848,27552329
2009-04-01,35.220001,46.099998,35.160000,45.220001,28.039257,21436294
2009-05-01,46.000000,48.580002,41.599998,46.400002,28.770935,19127390
2009-06-01,47.240002,49.080002,43.020000,45.259998,28.962011,18222042
2009-07-01,45.400002,52.250000,42.340000,51.500000,32.955006,17998710
2009-08-01,51.349998,53.200001,48.320000,50.849998,32.539066,15892501
2009-09-01,51.099998,58.000000,49.400002,55.099998,35.258659,14864234
2009-10-01,55.099998,56.450001,45.799999,46.000000,29.435541,24246372
2009-11-01,46.000000,53.599998,45.240002,50.099998,32.059139,19679555
2009-12-01,50.349998,57.900002,50.250000,57.000000,36.474468,14736557
2010-01-01,57.000000,63.549999,56.099998,57.450001,36.762428,22684862
2010-02-01,57.200001,58.250000,52.349998,53.400002,34.170826,18331923
2010-03-01,54.299999,60.650002,53.849998,59.849998,38.298195,22034237
2010-04-01,60.299999,66.500000,59.950001,63.500000,40.633846,16620211
2010-05-01,63.549999,64.099998,51.349998,56.049999,35.866562,17906810
2010-06-01,55.700001,57.450001,51.250000,51.750000,33.538448,18673793
2010-07-01,51.000000,55.900002,49.160000,53.099998,34.413364,16005534
2010-08-01,53.650002,58.549999,45.439999,47.340000,30.680384,22686200
2010-09-01,47.580002,52.799999,47.520000,51.349998,33.279213,20620549
2010-10-01,51.299999,57.099998,49.680000,55.000000,35.644726,14705734
2010-11-01,55.750000,61.599998,55.299999,57.150002,37.038109,15634957
2010-12-01,57.250000,63.799999,56.849998,61.250000,39.695263,14176960
2011-01-01,62.450001,65.949997,60.099998,61.150002,39.630459,17326904
2011-02-01,62.000000,67.000000,60.349998,62.549999,40.537773,17923892
2011-03-01,63.000000,65.949997,56.700001,60.400002,39.144386,23331967
2011-04-01,60.500000,62.650002,57.750000,61.750000,40.019310,15733286
2011-05-01,62.099998,62.299999,55.200001,58.049999,38.308254,22442213
2011-06-01,58.349998,58.349998,51.049999,53.900002,35.569595,16346685
2011-07-01,53.900002,57.049999,46.849998,47.509998,31.352715,25511659
2011-08-01,45.009998,45.790001,32.000000,37.630001,24.832726,37022916
2011-09-01,37.689999,38.650002,31.980000,36.169998,23.869242,23309549
2011-10-01,35.230000,45.360001,33.299999,42.410000,27.987131,19565653
2011-11-01,41.180000,41.580002,34.709999,39.419998,26.013977,24264021
2011-12-01,40.000000,40.889999,36.209999,39.349998,25.967781,13880460
2012-01-01,39.349998,45.389999,39.349998,43.630001,28.792231,13620514
2012-02-01,44.029999,48.430000,43.860001,45.340000,29.920691,13840147
2012-03-01,46.750000,49.520000,45.209999,47.299999,31.214136,13952684
2012-04-01,47.330002,47.950001,42.630001,44.200001,29.168383,11883304
2012-05-01,44.200001,45.099998,37.130001,37.700001,24.878920,16700933
2012-06-01,37.939999,42.000000,36.130001,42.000000,28.912964,14444645
2012-07-01,42.200001,43.799999,39.290001,43.000000,29.601368,12516644
2012-08-01,43.000000,45.730000,42.270000,43.299999,29.807888,10529355
2012-09-01,43.110001,49.279999,43.110001,44.759998,30.812960,14910381
2012-10-01,44.689999,49.430000,43.299999,45.040001,31.005711,18720730
2012-11-01,44.830002,47.160000,43.900002,45.790001,31.522015,21164882
2012-12-01,45.830002,49.619999,45.380001,48.040001,33.070923,10847658
2013-01-01,48.040001,53.299999,48.040001,52.299999,36.003525,12698144
2013-02-01,52.400002,54.700001,51.450001,53.450001,36.795189,9275950
2013-03-01,53.250000,56.549999,51.299999,52.000000,35.797001,14170396
2013-04-01,52.000000,52.799999,47.310001,49.730000,34.234329,16696897
2013-05-01,49.730000,57.500000,49.189999,53.799999,38.385632,12709203
2013-06-01,53.549999,55.000000,50.500000,53.849998,38.421295,13365932
2013-07-01,54.000000,61.900002,53.400002,58.750000,41.917385,13886233
2013-08-01,58.750000,64.650002,58.200001,58.599998,41.810368,12726696
2013-09-01,59.200001,64.900002,59.000000,64.400002,45.948593,10877498
2013-10-01,64.449997,68.099998,63.200001,66.949997,47.767986,11534539
2013-11-01,66.599998,71.150002,65.849998,69.800003,49.801426,10019816
2013-12-01,69.599998,71.000000,64.349998,70.599998,50.372211,8719079
2014-01-01,70.599998,76.150002,69.849998,71.349998,50.907326,16274031
2014-02-01,71.349998,75.949997,68.400002,75.949997,54.189377,11247990
2014-03-01,75.000000,79.800003,71.800003,73.550003,52.477009,26904022
2014-04-01,73.849998,75.699997,69.250000,73.550003,52.477009,16884759
2014-05-01,73.550003,75.650002,70.050003,74.750000,54.819824,21237022
2014-06-01,75.000000,77.099998,72.400002,73.000000,53.536415,14927877
2014-07-01,73.000000,74.199997,65.550003,68.199997,50.016220,25608217
2014-08-01,68.199997,70.599998,62.400002,69.500000,50.969604,19154375
2014-09-01,69.599998,71.150002,63.450001,64.849998,47.559402,23402910
2014-10-01,64.599998,65.400002,56.599998,65.050003,47.706085,28044675
2014-11-01,65.250000,68.050003,61.849998,67.849998,49.759533,17017039
2014-12-01,67.650002,70.199997,63.150002,68.849998,50.492908,16005212
2015-01-01,68.849998,70.000000,58.299999,68.900002,50.529579,28796539
2015-02-01,69.250000,76.449997,68.849998,75.000000,55.003166,18052954
2015-03-01,75.099998,82.800003,72.400002,81.000000,59.403416,22678518
2015-04-01,80.650002,82.900002,74.699997,76.699997,56.249905,15500126
2015-05-01,76.699997,77.449997,69.349998,74.699997,56.257137,20688898
2015-06-01,74.949997,79.349998,72.800003,75.900002,57.160877,15840179
