Date,Open,High,Low,Close,Adj Close,Volume
2001-06-01,37.419998,38.299999,36.750000,38.200001,4.541129,512940000
2001-07-01,38.049999,38.650002,35.700001,37.000000,4.398475,1660955140
2001-08-01,37.000000,38.000000,34.349998,35.200001,4.184495,2306642000
2001-09-01,35.099998,35.450001,28.900000,34.500000,4.101280,2887400370
2001-10-01,34.049999,35.250000,31.350000,33.900002,4.029954,2170015090
2001-11-01,33.849998,35.650002,33.250000,33.950001,4.035897,1666345000
2001-12-01,34.450001,35.500000,32.950001,35.400002,4.208271,1619424000
2002-01-01,35.400002,37.200001,34.650002,37.099998,4.410362,1741401050
2002-02-01,37.200001,38.250000,36.450001,37.650002,4.475745,1828612000
2002-03-01,37.500000,37.700001,35.950001,37.400002,4.446025,2162742000
2002-04-01,37.400002,38.299999,37.299999,38.299999,4.553016,1837283000
2002-05-01,38.299999,39.700001,37.450001,38.049999,5.436518,1926971450
2002-06-01,38.049999,38.200001,33.200001,34.700001,4.957874,2446050000
2002-07-01,34.450001,36.200001,27.100000,31.850000,4.550673,3656804000
2002-08-01,32.000000,34.500000,29.500000,32.200001,4.600679,2316723410
2002-09-01,31.950001,32.750000,30.200001,32.200001,4.600679,2730580000
2002-10-01,32.099998,33.400002,29.950001,31.650000,4.522095,2959654000
2002-11-01,31.500000,32.250000,30.000000,30.000000,4.286347,1926681000
2002-12-01,30.049999,30.500000,28.700001,29.299999,4.186332,1850868000
2003-01-01,29.299999,30.799999,26.549999,28.400000,4.057742,2725605000
2003-02-01,28.450001,28.500000,25.549999,27.299999,3.900576,2836842000
2003-03-01,27.350000,28.500000,23.325001,26.750000,3.821993,3280518000
2003-04-01,26.799999,29.100000,26.600000,27.650000,3.950583,2376023000
2003-05-01,27.650000,28.200001,26.350000,27.299999,5.176465,2012882000
2003-06-01,27.500000,29.500000,26.100000,27.950001,5.299715,3102111000
2003-07-01,28.000000,28.299999,26.650000,27.400000,5.195426,1985586000
2003-08-01,27.400000,31.150000,27.150000,30.500000,5.783230,2218299000
2003-09-01,30.600000,31.450001,29.950001,30.450001,5.773750,2213640000
2003-10-01,30.500000,31.100000,29.250000,29.400000,5.574655,2167689000
2003-11-01,29.450001,30.400000,28.799999,30.049999,5.697904,1913410000
2003-12-01,30.049999,30.950001,29.650000,30.900000,5.859076,1663083000
