Date,Open,High,Low,Close,Adj Close,Volume
2001-06-01,8.325000,8.433330,7.625000,7.725000,-0.000002,2152500
2001-07-01,7.708330,7.850000,6.641670,6.666670,-0.000002,2631420
2001-08-01,6.800000,7.266670,6.250000,6.250000,-0.000001,1472460
2001-09-01,6.166670,6.166670,4.700000,5.316670,-0.000001,2494680
2001-10-01,5.316670,5.783330,4.600000,5.641670,-0.000001,2157720
2001-11-01,5.416670,5.866670,5.033330,5.741670,-0.000001,2217960
2001-12-01,5.666670,6.250000,5.383330,6.166670,-0.000001,2194980
2002-01-01,6.041670,6.500000,5.833330,6.000000,-0.000001,1604040
2002-02-01,6.000000,6.200000,5.666670,5.950000,-0.000001,2297100
2002-03-01,5.950000,6.433330,5.916670,5.916670,-0.000001,1408320
2002-04-01,6.016670,6.733330,5.933330,6.583330,-0.000002,3840300
2002-05-01,6.691670,7.016670,6.333330,6.933330,-0.000002,3217440
2002-06-01,6.916670,7.191670,6.166670,6.650000,-0.000002,2495160
2002-07-01,6.666670,7.166670,5.583330,5.933330,-0.000001,2317140
2002-08-01,6.000000,6.466670,5.333330,6.325000,-0.000001,3131520
2002-09-01,6.250000,6.333330,5.083330,5.500000,-0.000001,1612920
2002-10-01,5.416670,5.833330,4.633330,5.833330,-0.000001,2233980
2002-11-01,5.900000,6.150000,5.500000,6.000000,-0.000001,1946880
2002-12-01,5.933330,6.666670,5.700000,5.950000,-0.000001,2091840
2003-01-01,5.983330,6.583330,5.591670,5.725000,-0.000001,2181720
2003-02-01,5.966670,6.250000,5.566670,5.633330,-0.000001,1273260
2003-03-01,5.616670,6.250000,5.191670,6.100000,-0.000001,1934820
2003-04-01,6.166670,6.833330,6.100000,6.633330,-0.000002,2918100
2003-05-01,6.633330,6.950000,6.566670,6.741670,-0.000002,2228160
2003-06-01,6.833330,7.458330,6.766670,7.075000,-0.000002,2924220
2003-07-01,7.041670,7.500000,6.833330,7.416670,-0.000002,2743320
2003-08-01,7.450000,8.075000,7.416670,7.883330,-0.000002,4076160
2003-09-01,7.883330,8.250000,7.583330,8.166670,-0.000002,4812960
2003-10-01,8.191670,8.666670,8.033330,8.500000,-0.000002,5726640
2003-11-01,8.566670,8.750000,8.166670,8.750000,-0.000002,2600100
2003-12-01,8.500000,8.983330,8.500000,8.900000,-0.000002,2334120
2004-01-01,8.850000,9.833330,8.750000,9.650000,-0.000002,6373980
2004-02-01,9.666670,10.333300,9.600000,10.250000,-0.000002,4260300
2004-03-01,10.250000,10.333300,9.150000,10.333300,-0.000002,4101060
2004-04-01,10.116700,10.916700,10.083300,10.166700,-0.000002,4517460
2004-05-01,10.083300,10.633300,9.750000,10.483300,-0.000002,3838320
2004-06-01,10.283300,11.483300,10.283300,11.483300,-0.000003,3567660
2004-07-01,11.266700,11.500000,10.416700,11.150000,-0.000003,2812380
2004-08-01,11.166700,11.433300,9.766670,11.416700,-0.000003,5351520
2004-09-01,11.366700,12.350000,11.283300,12.000000,-0.000003,5636400
2004-10-01,11.900000,12.425000,11.850000,12.283300,-0.000003,3993120
2004-11-01,12.216700,12.525000,11.200000,11.225000,-0.000003,5983200
2004-12-01,11.316700,11.575000,11.050000,11.366700,-0.000003,4828740
2005-01-01,11.408300,12.733300,11.333300,12.733300,-0.000003,8334720
2005-02-01,12.733300,13.666700,12.500000,13.666700,-0.000003,5884200
2005-03-01,13.600000,15.000000,13.500000,14.866700,-0.000004,7824480
2005-04-01,14.950000,15.591700,14.125000,14.466700,-0.000003,4866360
2005-05-01,14.433300,14.516700,12.850000,13.066700,-0.000003,7732680
2005-06-01,13.250000,14.333300,13.025000,13.325000,-0.000003,6406080
2005-07-01,13.333300,14.250000,13.091700,14.200000,-0.000003,5768700
2005-08-01,14.108300,16.299999,14.108300,16.100000,-0.000004,9098280
2005-09-01,16.000000,16.666700,15.383300,16.433300,-0.000004,7613460
2005-10-01,16.191700,16.816700,14.666700,15.300000,-0.000004,7812300
2005-11-01,15.333300,16.950001,15.250000,16.583300,-0.000004,12249960
2005-12-01,16.500000,18.166700,16.500000,18.166700,-0.000004,5483580
2006-01-01,18.333300,20.983299,17.983299,20.799999,-0.000005,7362720
2006-02-01,20.583300,22.083300,20.016701,21.500000,-0.000005,4307820
2006-03-01,21.333300,23.333300,18.333300,22.333300,-0.000005,6185580
2006-04-01,22.083300,24.583300,21.733299,24.166700,-0.000006,4595520
2006-05-01,24.250000,25.733299,20.833300,22.833300,-0.000005,9531660
