Date,Open,High,Low,Close,Adj Close,Volume
2001-05-21,481.000000,488.500000,480.500000,484.000000,308.172821,131500
2001-05-28,482.500000,486.500000,477.000000,482.500000,311.369354,200400
2001-06-04,482.500000,487.000000,481.500000,484.000000,312.337280,83200
2001-06-11,482.500000,498.500000,481.000000,492.000000,317.499878,295600
2001-06-18,494.500000,501.000000,489.000000,494.000000,318.790558,211800
2001-06-25,492.500000,500.000000,491.000000,498.500000,321.694550,114700
2001-07-02,499.500000,499.500000,488.000000,494.000000,318.790558,107800
2001-07-09,495.000000,498.000000,485.000000,490.000000,316.209290,84000
2001-07-16,490.000000,493.000000,485.000000,490.500000,316.531952,175300
2001-07-23,488.000000,495.000000,488.000000,493.500000,318.467865,141100
2001-07-30,494.500000,501.000000,490.500000,498.000000,321.371857,90300
2001-08-06,496.000000,499.500000,491.000000,492.000000,317.499878,123300
2001-08-13,491.000000,506.000000,491.000000,501.000000,323.307831,288100
2001-08-20,499.500000,504.000000,496.000000,500.000000,322.662476,123600
2001-08-27,499.000000,512.000000,497.000000,512.000000,330.406372,196100
2001-09-03,506.000000,515.000000,503.000000,505.000000,325.889130,202200
2001-09-10,502.000000,509.000000,484.000000,489.000000,315.563934,288900
2001-09-17,488.000000,497.500000,469.000000,486.500000,313.950653,341300
2001-09-24,486.500000,490.000000,446.000000,487.000000,314.273254,265400
2001-10-01,476.500000,495.000000,476.500000,488.000000,314.918579,126000
2001-10-08,490.000000,497.000000,469.500000,482.500000,311.369354,207600
2001-10-15,480.000000,503.000000,478.000000,501.000000,323.307831,236100
2001-10-22,503.000000,507.000000,493.000000,496.000000,320.081177,151800
2001-10-29,497.000000,508.000000,492.000000,501.000000,323.307831,185100
2001-11-05,502.000000,505.000000,496.500000,499.500000,322.339844,154200
2001-11-12,500.000000,516.000000,498.000000,516.000000,332.987762,182500
2001-11-19,514.000000,518.000000,503.000000,506.000000,326.534454,137500
2001-11-26,505.000000,510.000000,496.500000,505.000000,325.889130,122300
2001-12-03,504.000000,521.000000,498.000000,503.000000,324.598450,193100
2001-12-10,504.000000,504.000000,488.000000,492.000000,317.499878,165800
2001-12-17,494.000000,510.000000,492.000000,505.000000,325.889130,156600
2001-12-24,505.000000,513.000000,503.000000,506.000000,326.534454,38800
2001-12-31,506.000000,516.000000,500.000000,516.000000,332.987762,68200
2002-01-07,518.000000,521.000000,500.000000,512.000000,330.406372,105400
2002-01-14,510.000000,534.000000,502.000000,525.000000,338.795654,269300
2002-01-21,532.000000,545.000000,526.000000,540.000000,348.475433,280200
2002-01-28,541.000000,550.000000,526.000000,550.000000,354.928772,235500
2002-02-04,549.000000,558.000000,538.000000,553.000000,356.864777,233000
2002-02-11,554.000000,565.000000,550.000000,556.000000,358.800659,142200
2002-02-18,558.000000,562.000000,543.000000,544.000000,351.056793,195200
2002-02-25,543.000000,563.000000,543.000000,560.000000,361.381989,243200
2002-03-04,562.000000,564.000000,520.000000,520.000000,335.569031,654300
2002-03-11,522.000000,549.000000,518.000000,549.000000,354.283386,343900
2002-03-18,549.000000,550.000000,534.000000,537.000000,346.539459,130600
2002-03-25,535.000000,552.000000,535.000000,540.000000,348.475433,100100
2002-04-01,540.000000,560.000000,536.000000,552.000000,356.219330,146000
2002-04-08,552.000000,597.000000,549.000000,582.000000,375.579102,453800
2002-04-15,581.000000,595.000000,579.000000,595.000000,383.968353,241900
2002-04-22,596.000000,605.000000,587.000000,593.000000,382.677704,278600
2002-04-29,590.000000,605.000000,584.000000,591.000000,381.387054,232300
2002-05-06,590.000000,606.000000,575.000000,602.000000,393.040771,246000
2002-05-13,598.000000,620.000000,595.000000,607.000000,396.305237,206100
2002-05-20,607.000000,629.000000,599.000000,612.000000,399.569672,314900
2002-05-27,610.000000,623.000000,609.000000,613.000000,400.222565,174000
2002-06-03,612.000000,620.000000,598.000000,620.000000,404.792755,193900
2002-06-10,616.000000,628.000000,613.000000,615.000000,401.528381,239300
2002-06-17,616.000000,628.000000,601.000000,601.000000,392.387848,246400
2002-06-24,607.000000,623.000000,588.000000,600.000000,391.734924,302000
2002-07-01,602.000000,620.000000,602.000000,612.000000,399.569672,228300
2002-07-08,615.000000,617.000000,568.000000,576.000000,376.065582,241400
2002-07-15,578.000000,606.000000,561.000000,573.000000,374.106903,338400
2002-07-22,575.000000,575.000000,532.000000,564.000000,368.230896,298500
2002-07-29,569.000000,611.000000,564.000000,598.000000,390.429138,199500
2002-08-05,598.000000,611.000000,578.000000,601.000000,392.387848,147700
2002-08-12,602.000000,656.000000,598.000000,656.000000,428.296906,224900
