Date,Open,High,Low,Close,Adj Close,Volume
2001-05-21,31.920000,31.966999,30.407000,30.566999,24.531422,2532500
2001-05-28,30.440001,30.900000,29.367001,30.187000,24.226452,4722300
2001-06-04,30.187000,31.667000,29.667000,31.100000,24.959179,3881300
2001-06-11,31.267000,31.667000,30.573000,30.833000,24.744896,4381400
2001-06-18,30.833000,31.080000,28.333000,30.400000,24.397392,4788900
2001-06-25,30.533001,30.700001,29.000000,30.667000,24.611673,5357700
2001-07-02,30.247000,31.632999,27.367001,27.480000,22.053961,9127800
2001-07-09,27.473000,29.799999,27.200001,29.407000,23.600464,5896600
2001-07-16,29.407000,29.407000,28.040001,28.667000,23.006582,4071800
2001-07-23,28.333000,29.127001,27.413000,27.867001,22.364546,2971600
2001-07-30,27.367001,29.200001,27.280001,28.900000,23.193573,4208700
2001-08-06,28.900000,29.219999,27.040001,27.747000,22.268242,2696700
2001-08-13,28.027000,28.587000,26.420000,26.667000,21.401487,3648300
2001-08-20,26.340000,28.047001,25.740000,28.047001,22.509003,3749500
2001-08-27,28.299999,28.646999,26.533001,27.167000,21.802761,3612700
2001-09-03,26.740000,27.193001,24.799999,24.867001,19.956907,6601500
2001-09-10,24.833000,25.247000,19.867001,20.233000,16.237909,10348900
2001-09-17,20.000000,20.466999,16.700001,17.340000,13.916146,9741700
2001-09-24,18.533001,22.299999,18.273001,20.340000,16.323786,9247700
2001-10-01,20.540001,21.913000,19.333000,20.452999,16.414469,6942700
2001-10-08,19.933001,22.987000,19.487000,22.059999,17.704163,5989900
2001-10-15,21.987000,23.327000,21.440001,22.500000,18.057281,5694100
2001-10-22,22.367001,23.733000,21.607000,22.433001,18.003513,8279100
2001-10-29,22.000000,22.353001,20.173000,21.333000,17.120714,7937300
2001-11-05,21.600000,23.167000,21.513000,22.073000,17.714592,6491700
2001-11-12,21.966999,24.632999,20.500000,23.000000,18.458555,6262328
2001-11-19,23.066999,23.833000,21.900000,21.900000,17.575752,5815236
2001-11-26,22.500000,22.799999,20.700001,20.799999,16.692953,9309136
2001-12-03,20.400000,22.700001,20.167000,22.400000,17.977026,6288108
2001-12-10,22.132999,22.400000,20.000000,20.132999,16.157658,4321425
2001-12-17,20.433001,20.933001,19.433001,20.667000,16.586216,7083307
2001-12-24,20.667000,21.066999,20.066999,20.566999,16.505959,1187889
2001-12-31,20.566999,21.966999,20.033001,21.667000,17.388762,3429746
2002-01-07,21.667000,23.033001,21.566999,23.033001,18.485041,5598283
2002-01-14,22.700001,23.267000,22.333000,22.333000,17.923258,5953916
2002-01-21,22.333000,22.867001,21.400000,22.433001,18.003513,4845445
2002-01-28,22.433001,22.733000,21.833000,22.100000,17.736263,3390958
2002-02-04,22.200001,22.667000,21.066999,22.167000,17.790033,3546830
2002-02-11,22.299999,23.466999,21.833000,23.466999,18.833345,3887053
2002-02-18,23.433001,23.433001,22.333000,22.667000,18.191309,3750914
2002-02-25,22.733000,24.132999,22.533001,23.966999,19.234617,4524244
2002-03-04,24.333000,26.233000,24.333000,25.933001,20.812424,9738060
2002-03-11,25.933001,26.132999,24.700001,25.333000,20.330896,5442743
2002-03-18,25.566999,26.033001,24.367001,25.500000,20.464920,4483530
2002-03-25,25.767000,26.200001,25.566999,25.833000,20.732168,3221901
2002-04-01,25.833000,26.132999,25.400000,25.767000,20.679201,2878136
2002-04-08,25.367001,27.433001,25.367001,26.333000,21.133442,5929265
2002-04-15,26.033001,26.433001,25.667000,25.966999,20.839705,3655492
2002-04-22,25.733000,26.500000,24.900000,25.167000,20.197672,3187334
2002-04-29,24.799999,25.200001,23.833000,24.799999,19.903137,3909579
2002-05-06,24.667000,25.367001,23.700001,24.667000,19.796404,4652518
2002-05-13,25.000000,26.033001,24.632999,25.667000,20.598946,4904839
2002-05-20,26.000000,26.299999,25.566999,26.066999,20.919958,4257124
2002-05-27,25.500000,27.500000,24.799999,27.500000,22.070007,9436503
2002-06-03,27.200001,27.200001,24.233000,24.566999,19.716146,6549810
2002-06-10,25.132999,25.500000,23.033001,23.267000,18.672834,4469526
2002-06-17,23.100000,24.632999,21.132999,21.733000,17.441729,4594882
2002-06-24,21.500000,22.600000,20.033001,22.566999,18.111053,6856494
2002-07-01,21.966999,23.000000,21.200001,22.132999,17.762749,4304913
2002-07-08,21.700001,21.933001,18.767000,19.600000,15.729896,5682261
2002-07-15,19.500000,20.632999,18.100000,19.033001,15.274858,6016690
2002-07-22,19.000000,19.132999,16.033001,18.733000,15.034092,6526139
2002-07-29,18.933001,20.167000,17.100000,17.433001,13.990781,8386629
2002-08-05,17.333000,19.267000,16.400000,18.667000,14.981124,4824760
2002-08-12,18.167000,18.933001,17.400000,18.667000,14.981124,3758861
2002-08-19,18.667000,20.333000,18.066999,19.733000,15.836637,3593154
2002-08-26,19.533001,20.267000,18.132999,18.833000,15.114347,4188431
2002-09-02,18.500000,18.966999,17.167000,18.267000,14.660107,7684326
2002-09-09,18.267000,18.299999,16.132999,16.667000,13.376033,8793367
2002-09-16,16.533001,17.600000,15.600000,15.967000,12.814249,8490558
2002-09-23,15.700000,16.066999,13.533000,15.067000,12.091958,9041169
