Date,Open,High,Low,Close,Adj Close,Volume
2001-05-21,423.500000,429.000000,416.500000,425.500000,265.982849,11387
2001-05-28,420.500000,425.000000,364.000000,367.000000,229.414063,88981
2001-06-04,370.000000,379.000000,362.000000,370.000000,231.289459,51278
2001-06-11,371.500000,376.000000,353.000000,354.000000,221.287750,56503
2001-06-18,350.000000,364.500000,340.500000,350.000000,218.787323,34213
2001-06-25,353.000000,353.500000,310.500000,325.000000,203.159607,58734
2001-07-02,321.000000,336.000000,299.000000,300.000000,187.531982,53158
2001-07-09,300.000000,301.500000,289.500000,294.000000,183.781311,34196
2001-07-16,296.500000,297.000000,261.000000,288.500000,180.343262,82276
2001-07-23,296.000000,296.000000,262.500000,263.000000,164.403046,56417
2001-07-30,265.000000,298.000000,259.000000,287.000000,179.405594,62639
2001-08-06,291.000000,295.000000,265.000000,268.000000,167.528564,45862
2001-08-13,274.500000,285.000000,270.000000,281.500000,175.967499,56512
2001-08-20,284.000000,299.000000,280.000000,295.000000,184.406418,57249
2001-08-27,277.500000,282.500000,266.500000,273.000000,170.654068,52214
2001-09-03,279.500000,279.500000,226.500000,236.000000,147.525131,65038
2001-09-10,232.500000,236.000000,178.500000,183.250000,114.550804,130979
2001-09-17,185.500000,199.000000,177.000000,177.500000,110.956398,147906
2001-09-24,180.000000,208.500000,175.000000,189.000000,118.145142,132695
2001-10-01,190.000000,199.000000,175.000000,188.000000,117.520027,46229
2001-10-08,188.500000,207.000000,180.000000,203.500000,127.209175,78391
2001-10-15,203.000000,239.000000,200.000000,238.250000,148.931625,125591
2001-10-22,225.250000,261.000000,214.000000,258.000000,161.277481,96006
2001-10-29,252.500000,257.500000,236.500000,253.500000,158.464493,70292
2001-11-05,255.500000,291.000000,245.000000,278.000000,173.779633,69172
2001-11-12,281.000000,295.000000,266.500000,291.000000,181.905991,103981
2001-11-19,279.500000,295.000000,270.000000,282.000000,176.280029,70212
2001-11-26,298.000000,298.000000,265.500000,268.000000,167.528564,84572
2001-12-03,274.000000,323.500000,269.000000,315.000000,196.908539,113375
2001-12-10,315.000000,317.500000,268.500000,274.500000,171.591721,53730
2001-12-17,271.500000,281.500000,260.000000,260.000000,162.527710,65555
2001-12-24,264.000000,269.500000,261.000000,266.500000,166.590912,8849
2001-12-31,270.000000,296.000000,266.500000,293.000000,183.156250,34635
2002-01-07,295.000000,295.000000,275.000000,284.500000,177.842789,36129
2002-01-14,275.500000,286.000000,265.000000,267.500000,167.215988,52946
2002-01-21,272.000000,327.500000,257.500000,316.500000,197.846207,242545
2002-01-28,316.000000,318.000000,303.000000,313.000000,195.658356,95034
2002-02-04,315.000000,350.000000,310.500000,347.000000,216.912003,139272
2002-02-11,349.000000,360.000000,323.000000,335.500000,209.723221,102016
2002-02-18,336.000000,340.000000,328.000000,333.500000,208.473038,68988
2002-02-25,331.500000,334.000000,322.000000,328.000000,205.034958,70814
2002-03-04,337.500000,370.000000,320.000000,366.500000,229.101608,132334
2002-03-11,362.000000,376.500000,359.500000,368.000000,230.039246,81089
2002-03-18,365.000000,398.500000,364.500000,398.000000,248.792374,114137
2002-03-25,399.500000,429.000000,385.000000,421.000000,263.169891,194838
2002-04-01,421.000000,451.000000,421.000000,441.500000,275.984558,182428
2002-04-08,440.500000,450.000000,427.000000,435.000000,271.921356,75446
2002-04-15,438.000000,442.000000,415.000000,430.000000,268.795776,65063
2002-04-22,432.000000,445.000000,419.000000,442.000000,276.297119,75489
2002-04-29,435.000000,513.000000,425.000000,504.000000,315.053711,289070
2002-05-06,503.000000,515.000000,477.000000,500.000000,312.553284,155165
2002-05-13,499.000000,530.000000,493.000000,521.000000,329.777161,122780
2002-05-20,521.000000,527.000000,499.000000,505.000000,319.649658,49205
2002-05-27,512.000000,512.000000,495.000000,499.000000,315.851807,75488
2002-06-03,460.000000,503.000000,460.000000,494.500000,313.003448,113113
2002-06-10,491.500000,503.000000,476.500000,482.000000,305.091370,94352
2002-06-17,478.000000,485.000000,435.000000,453.000000,286.735199,94920
2002-06-24,446.000000,479.500000,444.500000,475.000000,300.660522,116117
2002-07-01,468.000000,488.000000,465.000000,474.000000,300.027496,96758
2002-07-08,468.000000,475.000000,425.000000,440.000000,278.506653,123714
2002-07-15,440.000000,445.000000,395.000000,395.000000,250.022964,155241
2002-07-22,407.000000,407.000000,335.000000,405.000000,256.352661,275083
2002-07-29,411.000000,435.000000,409.500000,413.500000,261.732910,109890
2002-08-05,403.000000,420.000000,357.500000,406.000000,256.985657,123852
2002-08-12,410.000000,440.000000,390.000000,433.500000,274.392303,67830
2002-08-19,430.000000,438.000000,421.000000,428.000000,270.911011,77019
2002-08-26,425.500000,438.000000,395.500000,397.000000,251.288864,88520
2002-09-02,396.000000,408.000000,372.000000,397.500000,251.605438,95542
2002-09-09,395.000000,404.000000,370.000000,380.000000,240.528412,79034
2002-09-16,390.000000,390.000000,333.000000,346.500000,219.323959,125111
2002-09-23,360.000000,388.500000,331.000000,380.000000,240.528412,76829
2002-09-30,370.000000,374.500000,340.000000,355.000000,224.704163,87976
2002-10-07,347.500000,388.000000,347.500000,380.000000,240.528412,150280
2002-10-14,371.000000,412.000000,363.000000,410.000000,259.517517,127585
2002-10-21,393.500000,419.000000,393.500000,414.000000,262.049377,80040
2002-10-28,416.000000,437.500000,415.000000,426.500000,269.961517,89428
2002-11-04,434.000000,460.000000,420.000000,421.500000,266.796631,85546
2002-11-11,420.000000,451.500000,410.500000,451.500000,285.785767,75331
2002-11-18,447.500000,466.500000,442.000000,453.000000,286.735199,70704
2002-11-25,455.000000,470.000000,447.500000,447.500000,283.253906,56286
